Rank,Movie,Worldwide Revenue,Domestic Revenue,Domestic Share,Foreign Revenue,Foreign Share,Year,Genres,Rating,Vote_Count,Original_Language,Production_Countries,Performance,Rating_Category,Vote_Category
1,Mission: Impossible II,546388108,215409889,39.4,330978219,60.6,2000,Adventure,6.1,6741,en,USA,Blockbuster,Good,Moderate
1,Mission: Impossible II,546388108,215409889,39.4,330978219,60.6,2000,Action,6.1,6741,en,USA,Blockbuster,Good,Moderate
1,Mission: Impossible II,546388108,215409889,39.4,330978219,60.6,2000,Thriller,6.1,6741,en,USA,Blockbuster,Good,Moderate
2,Gladiator,460583960,187705427,40.8,272878533,59.2,2000,Action,8.2,19032,en,UK,Blockbuster,Excellent,Popular
2,Gladiator,460583960,187705427,40.8,272878533,59.2,2000,Action,8.2,19032,en,USA,Blockbuster,Excellent,Popular
2,Gladiator,460583960,187705427,40.8,272878533,59.2,2000,Drama,8.2,19032,en,UK,Blockbuster,Excellent,Popular
2,Gladiator,460583960,187705427,40.8,272878533,59.2,2000,Drama,8.2,19032,en,USA,Blockbuster,Excellent,Popular
2,Gladiator,460583960,187705427,40.8,272878533,59.2,2000,Adventure,8.2,19032,en,UK,Blockbuster,Excellent,Popular
2,Gladiator,460583960,187705427,40.8,272878533,59.2,2000,Adventure,8.2,19032,en,USA,Blockbuster,Excellent,Popular
3,Cast Away,429632142,233632142,54.4,196000000,45.6,2000,Adventure,7.7,11403,en,USA,Blockbuster,Good,Popular
3,Cast Away,429632142,233632142,54.4,196000000,45.6,2000,Drama,7.7,11403,en,USA,Blockbuster,Good,Popular
4,What Women Want,374111707,182811707,48.9,191300000,51.1,2000,Comedy,6.4,3944,en,UK,Blockbuster,Good,Low
4,What Women Want,374111707,182811707,48.9,191300000,51.1,2000,Comedy,6.4,3944,en,USA,Blockbuster,Good,Low
4,What Women Want,374111707,182811707,48.9,191300000,51.1,2000,Romance,6.4,3944,en,UK,Blockbuster,Good,Low
4,What Women Want,374111707,182811707,48.9,191300000,51.1,2000,Romance,6.4,3944,en,USA,Blockbuster,Good,Low
5,Dinosaur,349822765,137748063,39.4,212074702,60.6,2000,Animation,6.5,2530,en,USA,Blockbuster,Good,Low
5,Dinosaur,349822765,137748063,39.4,212074702,60.6,2000,Family,6.5,2530,en,USA,Blockbuster,Good,Low
5,Dinosaur,349822765,137748063,39.4,212074702,60.6,2000,Adventure,6.5,2530,en,USA,Blockbuster,Good,Low
6,How the Grinch Stole Christmas,345842198,260745620,75.4,85096578,24.6,2000,Family,6.8,7591,en,Germany,Blockbuster,Good,Moderate
6,How the Grinch Stole Christmas,345842198,260745620,75.4,85096578,24.6,2000,Family,6.8,7591,en,USA,Blockbuster,Good,Moderate
6,How the Grinch Stole Christmas,345842198,260745620,75.4,85096578,24.6,2000,Comedy,6.8,7591,en,Germany,Blockbuster,Good,Moderate
6,How the Grinch Stole Christmas,345842198,260745620,75.4,85096578,24.6,2000,Comedy,6.8,7591,en,USA,Blockbuster,Good,Moderate
6,How the Grinch Stole Christmas,345842198,260745620,75.4,85096578,24.6,2000,Fantasy,6.8,7591,en,Germany,Blockbuster,Good,Moderate
6,How the Grinch Stole Christmas,345842198,260745620,75.4,85096578,24.6,2000,Fantasy,6.8,7591,en,USA,Blockbuster,Good,Moderate
7,Meet the Parents,330444045,166244045,50.3,164200000,49.7,2000,Comedy,6.7,5916,en,USA,Blockbuster,Good,Moderate
7,Meet the Parents,330444045,166244045,50.3,164200000,49.7,2000,Romance,6.7,5916,en,USA,Blockbuster,Good,Moderate
8,The Perfect Storm,328718434,182618434,55.6,146100000,44.4,2000,Action,6.5,2312,en,USA,Blockbuster,Good,Low
8,The Perfect Storm,328718434,182618434,55.6,146100000,44.4,2000,Adventure,6.5,2312,en,USA,Blockbuster,Good,Low
8,The Perfect Storm,328718434,182618434,55.6,146100000,44.4,2000,Drama,6.5,2312,en,USA,Blockbuster,Good,Low
8,The Perfect Storm,328718434,182618434,55.6,146100000,44.4,2000,Thriller,6.5,2312,en,USA,Blockbuster,Good,Low
9,X-Men,296339528,157299718,53.1,139039810,46.9,2000,Adventure,7.0,11355,en,USA,Blockbuster,Good,Popular
9,X-Men,296339528,157299718,53.1,139039810,46.9,2000,Action,7.0,11355,en,USA,Blockbuster,Good,Popular
9,X-Men,296339528,157299718,53.1,139039810,46.9,2000,Science Fiction,7.0,11355,en,USA,Blockbuster,Good,Popular
10,What Lies Beneath,291420351,155464351,53.3,135956000,46.7,2000,Drama,6.4,1818,en,USA,Blockbuster,Good,Low
10,What Lies Beneath,291420351,155464351,53.3,135956000,46.7,2000,Horror,6.4,1818,en,USA,Blockbuster,Good,Low
10,What Lies Beneath,291420351,155464351,53.3,135956000,46.7,2000,Mystery,6.4,1818,en,USA,Blockbuster,Good,Low
10,What Lies Beneath,291420351,155464351,53.3,135956000,46.7,2000,Thriller,6.4,1818,en,USA,Blockbuster,Good,Low
11,Scary Movie,278019771,157019771,56.5,121000000,43.5,2000,Comedy,6.4,6984,en,USA,Blockbuster,Good,Moderate
12,Charlie's Angels,264105545,125305545,47.4,138800000,52.6,2000,Action,5.8,4148,en,USA,Blockbuster,Average,Low
12,Charlie's Angels,264105545,125305545,47.4,138800000,52.6,2000,Adventure,5.8,4148,en,USA,Blockbuster,Average,Low
